,train,val,test
0,S100_SC0_P86_LKPG4,S94_SC0_P57_LKPG4,S162_SC0_P1_LKPG13
1,S100_SC0_P87_LKPG4,S94_SC0_P60_LKPG4,S162_SC0_P5_LKPG13
2,S100_SC0_P88_LKPG4,S224_SC0_P31_LKPG12,S162_SC0_P6_LKPG13
3,S101_SC0_P55_LKPG15,S224_SC0_P32_LKPG12,S155_SC0_P68_LKPG13
4,S101_SC0_P56_LKPG15,S224_SC0_P35_LKPG12,S155_SC0_P69_LKPG13
5,S101_SC0_P57_LKPG15,S224_SC0_P59_LKPG16,S155_SC0_P72_LKPG13
6,S101_SC0_P58_LKPG15,S45_SC0_P58_LKPG2,S18_SC0_P77_LKPG1
7,S104_SC0_P77_LKPG12,S45_SC0_P59_LKPG2,S18_SC0_P78_LKPG1
8,S104_SC0_P80_LKPG16,S45_SC0_P60_LKPG2,S18_SC0_P79_LKPG1
9,S105_SC0_P4_LKPG5,S31_SC0_P74_LKPG3,S18_SC0_P80_LKPG1
10,S105_SC0_P6_LKPG5,S31_SC0_P75_LKPG3,S15_SC0_P99_LKPG15
11,S106_SC0_P11_LKPG5,S31_SC0_P76_LKPG3,S247_SC0_P42_LKPG14
12,S106_SC0_P12_LKPG5,S31_SC0_P77_LKPG3,S80_SC0_P19_LKPG4
13,S106_SC0_P13_LKPG5,S31_SC0_P78_LKPG3,S151_SC0_P78_LKPG6
14,S106_SC0_P14_LKPG5,S230_SC0_P37_LKPG9,S151_SC0_P79_LKPG6
15,S107_SC0_P16_LKPG5,S230_SC0_P38_LKPG9,S193_SC0_P83_LKPG7
16,S114_SC0_P75_LKPG11,S230_SC0_P39_LKPG9,S193_SC0_P84_LKPG7
17,S115_SC0_P52_LKPG15,S244_SC0_P11_LKPG10,S193_SC0_P85_LKPG7
18,S115_SC0_P53_LKPG15,S128_SC0_P85_LKPG5,S193_SC0_P86_LKPG7
19,S116_SC0_P41_LKPG5,S184_SC0_P1_LKPG14,S193_SC0_P80_LKPG7
20,S116_SC0_P42_LKPG5,S184_SC0_P2_LKPG14,S117_SC0_P84_LKPG11
21,S116_SC0_P43_LKPG5,S184_SC0_P4_LKPG14,S117_SC0_P85_LKPG11
22,S116_SC0_P44_LKPG5,S95_SC0_P65_LKPG15,S117_SC0_P86_LKPG11
23,S119_SC0_P53_LKPG5,S95_SC0_P60_LKPG15,S228_SC0_P29_LKPG9
24,S11_SC0_P56_LKPG1,S50_SC0_P32_LKPG2,S228_SC0_P24_LKPG9
25,S11_SC0_P58_LKPG1,S70_SC0_P19_LKPG3,S228_SC0_P25_LKPG9
26,S121_SC0_P55_LKPG5,S70_SC0_P20_LKPG3,S228_SC0_P26_LKPG9
27,S124_SC0_P68_LKPG5,S70_SC0_P21_LKPG3,S58_SC0_P19_LKPG2
28,S125_SC0_P72_LKPG5,S70_SC0_P22_LKPG3,S58_SC0_P17_LKPG2
29,S127_SC0_P44_LKPG15,S70_SC0_P99_LKPG16,S111_SC0_P31_LKPG5
30,S127_SC0_P45_LKPG15,S33_SC0_P11_LKPG16,S111_SC0_P32_LKPG5
31,S136_SC0_P23_LKPG6,S33_SC0_P12_LKPG16,S111_SC0_P33_LKPG5
32,S139_SC0_P53_LKPG13,S33_SC0_P13_LKPG16,S111_SC0_P34_LKPG5
33,S147_SC0_P65_LKPG6,S33_SC0_P9_LKPG16,S111_SC0_P35_LKPG5
34,S147_SC0_P66_LKPG6,S71_SC0_P91_LKPG13,S281_SC0_P23_LKPG14
35,S147_SC0_P67_LKPG6,S7_SC0_P37_LKPG1,S234_SC0_P48_LKPG14
36,S147_SC0_P68_LKPG6,S7_SC0_P38_LKPG1,S173_SC0_P39_LKPG11
37,S147_SC0_P69_LKPG6,S7_SC0_P34_LKPG1,S233_SC0_P55_LKPG9
38,S160_SC0_P11_LKPG7,S7_SC0_P35_LKPG1,S97_SC0_P70_LKPG4
39,S160_SC0_P6_LKPG7,S7_SC0_P36_LKPG1,S123_SC0_P64_LKPG5
40,S160_SC0_P8_LKPG7,S13_SC0_P65_LKPG1,S123_SC0_P60_LKPG5
41,S16_SC0_P69_LKPG1,S13_SC0_P68_LKPG1,S123_SC0_P61_LKPG5
42,S170_SC0_P80_LKPG13,S255_SC0_P37_LKPG10,S123_SC0_P62_LKPG5
43,S177_SC0_P16_LKPG15,S255_SC0_P38_LKPG10,S69_SC0_P19_LKPG13
44,S177_SC0_P17_LKPG15,S255_SC0_P34_LKPG10,S69_SC0_P20_LKPG13
45,S178_SC0_P50_LKPG11,S255_SC0_P35_LKPG10,S69_SC0_P21_LKPG13
46,S181_SC0_P98_LKPG7,S138_SC0_P29_LKPG6,S69_SC0_P18_LKPG13
47,S181_SC0_P2_LKPG8,S138_SC0_P30_LKPG6,S167_SC0_P38_LKPG12
48,S181_SC0_P4_LKPG8,S138_SC0_P31_LKPG6,S167_SC0_P65_LKPG16
49,S187_SC0_P65_LKPG7,S138_SC0_P32_LKPG6,S167_SC0_P61_LKPG16
50,S187_SC0_P66_LKPG7,S138_SC0_P26_LKPG6,S167_SC0_P62_LKPG16
51,S187_SC0_P61_LKPG7,S144_SC0_P65_LKPG13,S98_SC0_P75_LKPG4
52,S187_SC0_P62_LKPG7,S144_SC0_P66_LKPG13,S131_SC0_P98_LKPG5
53,S190_SC0_P73_LKPG7,S144_SC0_P61_LKPG13,S208_SC0_P55_LKPG8
54,S190_SC0_P74_LKPG7,S144_SC0_P62_LKPG13,S72_SC0_P1_LKPG4
55,S190_SC0_P71_LKPG7,S79_SC0_P11_LKPG12,S25_SC0_P54_LKPG3
56,S190_SC0_P72_LKPG7,S79_SC0_P13_LKPG12,S25_SC0_P49_LKPG11
57,S191_SC0_P12_LKPG14,S79_SC0_P8_LKPG12,S238_SC0_P73_LKPG9
58,S195_SC0_P32_LKPG16,S79_SC0_P9_LKPG12,S238_SC0_P69_LKPG9
59,S195_SC0_P33_LKPG16,S14_SC0_P20_LKPG8,S238_SC0_P70_LKPG9
60,S195_SC0_P34_LKPG16,S14_SC0_P22_LKPG8,S238_SC0_P71_LKPG9
61,S195_SC0_P35_LKPG16,S14_SC0_P23_LKPG8,S196_SC0_P14_LKPG14
62,S200_SC0_P48_LKPG11,S60_SC0_P35_LKPG8,S196_SC0_P15_LKPG14
