,train,val,test
S107_SC0_P16_LKPG5,True,False,False
S11_SC0_P56_LKPG1,True,False,False
S11_SC0_P58_LKPG1,True,False,False
S121_SC0_P55_LKPG5,True,False,False
S123_SC0_P64_LKPG5,True,False,False
S123_SC0_P60_LKPG5,True,False,False
S123_SC0_P61_LKPG5,True,False,False
S123_SC0_P62_LKPG5,True,False,False
S125_SC0_P72_LKPG5,True,False,False
S136_SC0_P23_LKPG6,True,False,False
S138_SC0_P29_LKPG6,True,False,False
S138_SC0_P30_LKPG6,True,False,False
S138_SC0_P31_LKPG6,True,False,False
S138_SC0_P32_LKPG6,True,False,False
S138_SC0_P26_LKPG6,True,False,False
S139_SC0_P53_LKPG13,True,False,False
S13_SC0_P65_LKPG1,True,False,False
S13_SC0_P68_LKPG1,True,False,False
S147_SC0_P65_LKPG6,True,False,False
S147_SC0_P66_LKPG6,True,False,False
S147_SC0_P67_LKPG6,True,False,False
S147_SC0_P68_LKPG6,True,False,False
S147_SC0_P69_LKPG6,True,False,False
S14_SC0_P20_LKPG8,True,False,False
S14_SC0_P22_LKPG8,True,False,False
S14_SC0_P23_LKPG8,True,False,False
S151_SC0_P78_LKPG6,True,False,False
S151_SC0_P79_LKPG6,True,False,False
S155_SC0_P68_LKPG13,True,False,False
S155_SC0_P69_LKPG13,True,False,False
S155_SC0_P72_LKPG13,True,False,False
S15_SC0_P99_LKPG15,True,False,False
S170_SC0_P80_LKPG13,True,False,False
S173_SC0_P39_LKPG11,True,False,False
S178_SC0_P50_LKPG11,True,False,False
S180_SC0_P47_LKPG7,True,False,False
S180_SC0_P49_LKPG7,True,False,False
S180_SC0_P43_LKPG7,True,False,False
S181_SC0_P98_LKPG7,True,False,False
S181_SC0_P2_LKPG8,True,False,False
S181_SC0_P4_LKPG8,True,False,False
S184_SC0_P1_LKPG14,True,False,False
S184_SC0_P2_LKPG14,True,False,False
S184_SC0_P4_LKPG14,True,False,False
S187_SC0_P65_LKPG7,True,False,False
S187_SC0_P66_LKPG7,True,False,False
S187_SC0_P61_LKPG7,True,False,False
S187_SC0_P62_LKPG7,True,False,False
S193_SC0_P83_LKPG7,True,False,False
S193_SC0_P84_LKPG7,True,False,False
S193_SC0_P85_LKPG7,True,False,False
S193_SC0_P86_LKPG7,True,False,False
S193_SC0_P80_LKPG7,True,False,False
S195_SC0_P32_LKPG16,True,False,False
S195_SC0_P33_LKPG16,True,False,False
S195_SC0_P34_LKPG16,True,False,False
S195_SC0_P35_LKPG16,True,False,False
S196_SC0_P14_LKPG14,True,False,False
S196_SC0_P15_LKPG14,True,False,False
S196_SC0_P17_LKPG14,True,False,False
S196_SC0_P18_LKPG14,True,False,False
S200_SC0_P48_LKPG11,True,False,False
S208_SC0_P55_LKPG8,True,False,False
S211_SC0_P83_LKPG12,True,False,False
S211_SC0_P84_LKPG12,True,False,False
S211_SC0_P79_LKPG12,True,False,False
S211_SC0_P80_LKPG12,True,False,False
S211_SC0_P83_LKPG16,True,False,False
S211_SC0_P84_LKPG16,True,False,False
S211_SC0_P85_LKPG16,True,False,False
S217_SC0_P68_LKPG16,True,False,False
S221_SC0_P88_LKPG8,True,False,False
S222_SC0_P94_LKPG8,True,False,False
S222_SC0_P96_LKPG8,True,False,False
S222_SC0_P1_LKPG9,True,False,False
S224_SC0_P31_LKPG12,True,False,False
S224_SC0_P32_LKPG12,True,False,False
S224_SC0_P35_LKPG12,True,False,False
S224_SC0_P59_LKPG16,True,False,False
S225_SC0_P6_LKPG9,True,False,False
S230_SC0_P37_LKPG9,True,False,False
S230_SC0_P38_LKPG9,True,False,False
S230_SC0_P39_LKPG9,True,False,False
S232_SC0_P48_LKPG9,True,False,False
S232_SC0_P51_LKPG9,True,False,False
S233_SC0_P55_LKPG9,True,False,False
S234_SC0_P48_LKPG14,True,False,False
S238_SC0_P73_LKPG9,True,False,False
S238_SC0_P69_LKPG9,True,False,False
S238_SC0_P70_LKPG9,True,False,False
S238_SC0_P71_LKPG9,True,False,False
S240_SC0_P84_LKPG9,True,False,False
S240_SC0_P79_LKPG9,True,False,False
S241_SC0_P86_LKPG9,True,False,False
S241_SC0_P87_LKPG9,True,False,False
S241_SC0_P88_LKPG9,True,False,False
S241_SC0_P89_LKPG9,True,False,False
S241_SC0_P90_LKPG9,True,False,False
S244_SC0_P11_LKPG10,True,False,False
S245_SC0_P38_LKPG14,True,False,False
S245_SC0_P40_LKPG14,True,False,False
S24_SC0_P47_LKPG3,True,False,False
S24_SC0_P48_LKPG3,True,False,False
S257_SC0_P44_LKPG10,True,False,False
S25_SC0_P54_LKPG3,True,False,False
S25_SC0_P49_LKPG11,True,False,False
S262_SC0_P31_LKPG14,True,False,False
S263_SC0_P73_LKPG10,True,False,False
S263_SC0_P75_LKPG10,True,False,False
S263_SC0_P76_LKPG10,True,False,False
S269_SC0_P25_LKPG14,True,False,False
S272_SC0_P11_LKPG11,True,False,False
S272_SC0_P6_LKPG11,True,False,False
S272_SC0_P9_LKPG11,True,False,False
S274_SC0_P19_LKPG11,True,False,False
S274_SC0_P17_LKPG11,True,False,False
S274_SC0_P18_LKPG11,True,False,False
S283_SC0_P37_LKPG15,True,False,False
S283_SC0_P38_LKPG15,True,False,False
S283_SC0_P34_LKPG15,True,False,False
S283_SC0_P35_LKPG15,True,False,False
S31_SC0_P74_LKPG3,True,False,False
S31_SC0_P75_LKPG3,True,False,False
S31_SC0_P76_LKPG3,True,False,False
S31_SC0_P77_LKPG3,True,False,False
S31_SC0_P78_LKPG3,True,False,False
S33_SC0_P11_LKPG16,True,False,False
S33_SC0_P12_LKPG16,True,False,False
S33_SC0_P13_LKPG16,True,False,False
S33_SC0_P9_LKPG16,True,False,False
S34_SC0_P94_LKPG15,True,False,False
S38_SC0_P5_LKPG8,True,False,False
S38_SC0_P6_LKPG8,True,False,False
S38_SC0_P8_LKPG8,True,False,False
S38_SC0_P9_LKPG8,True,False,False
S40_SC0_P29_LKPG8,True,False,False
S40_SC0_P30_LKPG8,True,False,False
S40_SC0_P31_LKPG8,True,False,False
S41_SC0_P75_LKPG2,True,False,False
S41_SC0_P76_LKPG2,True,False,False
S41_SC0_P72_LKPG2,True,False,False
S46_SC0_P55_LKPG2,True,False,False
S46_SC0_P53_LKPG2,True,False,False
S46_SC0_P54_LKPG2,True,False,False
S51_SC0_P84_LKPG1,True,False,False
S51_SC0_P85_LKPG1,True,False,False
S51_SC0_P86_LKPG1,True,False,False
S59_SC0_P20_LKPG2,True,False,False
S59_SC0_P21_LKPG2,True,False,False
S59_SC0_P22_LKPG2,True,False,False
S59_SC0_P23_LKPG2,True,False,False
S59_SC0_P24_LKPG2,True,False,False
S60_SC0_P35_LKPG8,True,False,False
S68_SC0_P23_LKPG13,True,False,False
S68_SC0_P24_LKPG13,True,False,False
S68_SC0_P25_LKPG13,True,False,False
S70_SC0_P19_LKPG3,True,False,False
S70_SC0_P20_LKPG3,True,False,False
S70_SC0_P21_LKPG3,True,False,False
S70_SC0_P22_LKPG3,True,False,False
S70_SC0_P99_LKPG16,True,False,False
S72_SC0_P1_LKPG4,True,False,False
S73_SC0_P76_LKPG15,True,False,False
S73_SC0_P78_LKPG15,True,False,False
S73_SC0_P79_LKPG15,True,False,False
S79_SC0_P11_LKPG12,True,False,False
S79_SC0_P13_LKPG12,True,False,False
S79_SC0_P8_LKPG12,True,False,False
S79_SC0_P9_LKPG12,True,False,False
S81_SC0_P20_LKPG4,True,False,False
S81_SC0_P21_LKPG4,True,False,False
S81_SC0_P22_LKPG4,True,False,False
S81_SC0_P23_LKPG4,True,False,False
S81_SC0_P24_LKPG4,True,False,False
S90_SC0_P15_LKPG8,True,False,False
S90_SC0_P18_LKPG8,True,False,False
S92_SC0_P96_LKPG11,True,False,False
S93_SC0_P55_LKPG4,True,False,False
S93_SC0_P56_LKPG4,True,False,False
S93_SC0_P52_LKPG4,True,False,False
S93_SC0_P53_LKPG4,True,False,False
S93_SC0_P54_LKPG4,True,False,False
S95_SC0_P65_LKPG15,True,False,False
S95_SC0_P60_LKPG15,True,False,False
S97_SC0_P70_LKPG4,True,False,False
S100_SC1_P89_LKPG4,True,False,False
S105_SC1_P5_LKPG5,True,False,False
S109_SC1_P21_LKPG5,True,False,False
S110_SC1_P30_LKPG5,True,False,False
S110_SC1_P25_LKPG5,True,False,False
S110_SC1_P26_LKPG5,True,False,False
S114_SC1_P73_LKPG11,True,False,False
S114_SC1_P74_LKPG11,True,False,False
S114_SC1_P76_LKPG11,True,False,False
S11_SC1_P55_LKPG1,True,False,False
S11_SC1_P57_LKPG1,True,False,False
S11_SC1_P54_LKPG1,True,False,False
S120_SC1_P41_LKPG16,True,False,False
S120_SC1_P42_LKPG16,True,False,False
S124_SC1_P70_LKPG5,True,False,False
S125_SC1_P73_LKPG5,True,False,False
S125_SC1_P74_LKPG5,True,False,False
S125_SC1_P71_LKPG5,True,False,False
S125_SC1_P94_LKPG13,True,False,False
S127_SC1_P48_LKPG15,True,False,False
S129_SC1_P91_LKPG5,True,False,False
S129_SC1_P87_LKPG5,True,False,False
S129_SC1_P88_LKPG5,True,False,False
S12_SC1_P59_LKPG1,True,False,False
S12_SC1_P61_LKPG1,True,False,False
S12_SC1_P62_LKPG1,True,False,False
S130_SC1_P95_LKPG5,True,False,False
S130_SC1_P96_LKPG5,True,False,False
S130_SC1_P1_LKPG6,True,False,False
S134_SC1_P47_LKPG13,True,False,False
S134_SC1_P48_LKPG13,True,False,False
S134_SC1_P49_LKPG13,True,False,False
S135_SC1_P19_LKPG6,True,False,False
S135_SC1_P20_LKPG6,True,False,False
S135_SC1_P17_LKPG6,True,False,False
S135_SC1_P18_LKPG6,True,False,False
S136_SC1_P25_LKPG6,True,False,False
S137_SC1_P39_LKPG15,True,False,False
S137_SC1_P40_LKPG15,True,False,False
S137_SC1_P42_LKPG15,True,False,False
S13_SC1_P66_LKPG1,True,False,False
S13_SC1_P67_LKPG1,True,False,False
S140_SC1_P58_LKPG13,True,False,False
S140_SC1_P59_LKPG13,True,False,False
S140_SC1_P60_LKPG13,True,False,False
S142_SC1_P47_LKPG6,True,False,False
S142_SC1_P42_LKPG6,True,False,False
S142_SC1_P43_LKPG6,True,False,False
S142_SC1_P44_LKPG6,True,False,False
S144_SC1_P67_LKPG13,True,False,False
S145_SC1_P57_LKPG6,True,False,False
S145_SC1_P54_LKPG6,True,False,False
S146_SC1_P62_LKPG6,True,False,False
S152_SC1_P67_LKPG11,True,False,False
S152_SC1_P68_LKPG11,True,False,False
S152_SC1_P69_LKPG11,True,False,False
S152_SC1_P70_LKPG11,True,False,False
S152_SC1_P71_LKPG11,True,False,False
S155_SC1_P70_LKPG13,True,False,False
S155_SC1_P71_LKPG13,True,False,False
S157_SC1_P92_LKPG6,True,False,False
S157_SC1_P94_LKPG6,True,False,False
S158_SC1_P73_LKPG13,True,False,False
S158_SC1_P75_LKPG13,True,False,False
S158_SC1_P76_LKPG13,True,False,False
S160_SC1_P12_LKPG7,True,False,False
S160_SC1_P9_LKPG7,True,False,False
S161_SC1_P17_LKPG7,True,False,False
S163_SC1_P11_LKPG13,True,False,False
S163_SC1_P12_LKPG13,True,False,False
S164_SC1_P19_LKPG7,True,False,False
S164_SC1_P21_LKPG7,True,False,False
S164_SC1_P22_LKPG7,True,False,False
S164_SC1_P18_LKPG7,True,False,False
S165_SC1_P29_LKPG7,True,False,False
S165_SC1_P24_LKPG7,True,False,False
S165_SC1_P25_LKPG7,True,False,False
S165_SC1_P26_LKPG7,True,False,False
S166_SC1_P87_LKPG12,True,False,False
